Category: All categories,
,
Day,steam deck: (United States)
2021-07-11,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,40
2021-07-16,100
2021-07-17,54
2021-07-18,29
2021-07-19,28
2021-07-20,16
2021-07-21,12
2021-07-22,7
2021-07-23,11
2021-07-24,8
2021-07-25,7
2021-07-26,9
2021-07-27,5
2021-07-28,6
2021-07-29,3
2021-07-30,5
2021-07-31,3
2021-08-01,3
2021-08-02,2
2021-08-03,3
2021-08-04,2
2021-08-05,2
2021-08-06,6
2021-08-07,6
2021-08-08,2
2021-08-09,5
2021-08-10,6
2021-08-11,3
2021-08-12,2
2021-08-13,4
2021-08-14,3
2021-08-15,10
2021-08-22,5
2021-08-29,6
2021-09-05,8
2021-09-12,4
2021-09-19,6
2021-09-26,6
2021-10-03,10
2021-10-10,8
2021-10-17,10
2021-10-24,10
2021-10-31,8
2021-11-07,11
2021-11-14,7
2021-11-21,8
2021-11-28,9
2021-12-05,8
2021-12-12,7
2021-12-19,9
2021-12-26,8
2022-01-02,8
2022-01-09,12
2022-01-16,13
2022-01-23,18
2022-01-30,22
2022-02-06,36
