Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your timestamp?,What is your estimate?,What is your estimate?
19/01/2022 21:47:34,EU,512,1626454813,December,Q1
19/01/2022 22:09:08,EU,512,1626454813,December,Q1
19/01/2022 22:43:20,EU,512,1626454813,December,Q1
19/01/2022 22:44:40,EU,512,1626454813,December,Q1
19/01/2022 23:06:27,EU,512,1626454813,December,Q1
19/01/2022 23:32:03,US,512,1626454813,December,Q1
20/01/2022 02:02:20,UK,512,1626454813,December,Q1
20/01/2022 04:54:24,US,256,1626454813,December,Q1
21/01/2022 09:00:08,US,512,1626454813,December,Q1
03/02/2022 06:09:04,US,512,1626454813,December,Q1
05/02/2022 04:43:16,EU,256,1626454813,December,Q1
19/01/2022 22:04:24,EU,512,1626454814,December,Q1
20/01/2022 03:30:16,UK,512,1626454814,December,Q1
20/01/2022 19:38:50,US,512,1626454814,December,Q1
20/01/2022 06:09:41,US,512,1626454815,December,Q1
20/01/2022 15:55:38,US,512,1626454815,December,Q1
20/01/2022 07:15:12,US,512,1626454816,December,Q1
20/01/2022 05:55:59,US,512,1626454818,December,Q1
20/01/2022 00:21:47,US,512,1626454822,December,Q1
20/01/2022 00:03:15,US,256,1626454823,December,Q1
20/01/2022 00:56:08,US,512,1626454823,December,Q1
20/01/2022 01:24:58,US,512,1626454823,December,Q1
19/01/2022 23:38:50,US,512,1626454825,December,Q1
20/01/2022 19:54:30,US,512,1626454825,December,Q1
20/01/2022 03:09:27,US,512,1626454826,December,Q1
20/01/2022 09:07:15,EU,256,1626454826,December,Q1
20/01/2022 08:36:21,EU,256,1626454827,December,Q1
19/01/2022 22:15:17,US,512,1626454830,December,Q1
20/01/2022 01:35:43,US,256,1626454830,December,Q1
04/02/2022 18:22:49,US,256,1626454830,December,Q1
31/01/2022 06:54:29,UK,512,1626454833,December,Q1
20/01/2022 03:45:40,US,512,1626454835,December,Q1
20/01/2022 22:43:32,US,512,1626454835,December,Q1
03/02/2022 06:12:38,US,512,1626454835,December,Q1
19/01/2022 23:28:31,US,512,1626454836,December,Q1
19/01/2022 23:02:05,US,256,1626454837,December,Q1
20/01/2022 06:32:58,US,256,1626454837,December,Q1
20/01/2022 16:04:16,US,256,1626454838,December,Q1
21/01/2022 01:14:49,UK,256,1626454838,December,Q1
11/02/2022 18:34:44,US,512,1626454839,December,Q1
21/01/2022 06:03:37,US,512,1626454845,December,Q1
20/01/2022 01:58:42,US,512,1626454846,December,Q1
20/01/2022 20:06:40,US,512,1626454850,December,Q1
19/01/2022 21:54:54,US,512,1626454851,December,Q1
04/02/2022 18:47:58,US,512,1626454851,December,Q1
20/01/2022 18:22:22,US,256,1626454852,December,Q1
06/02/2022 11:41:36,US,256,1626454852,December,Q1
20/01/2022 19:42:58,US,512,1626454853,December,Q1
21/01/2022 15:31:59,EU,256,1626454853,December,Q1
19/01/2022 21:48:06,EU,512,1626454854,December,Q1
19/01/2022 22:34:46,US,512,1626454854,December,Q1
20/01/2022 02:22:17,UK,512,1626454854,December,Q1
20/01/2022 16:08:34,UK,64,1626454854,December,Q1
20/01/2022 07:13:42,UK,512,1626454855,December,Q1
20/01/2022 16:53:17,US,512,1626454855,December,Q1
04/02/2022 18:49:09,US,64,1626454855,December,Q1
07/02/2022 17:00:11,EU,512,1626454855,December,Q1
19/01/2022 22:42:28,US,512,1626454856,December,Q1
19/01/2022 23:51:19,US,512,1626454856,December,Q1
20/01/2022 03:18:04,US,512,1626454856,December,Q1
19/01/2022 23:20:10,UK,256,1626454857,December,Q1
20/01/2022 14:41:03,UK,512,1626454857,December,Q1
07/02/2022 13:52:28,UK,512,1626454858,December,Q1
20/01/2022 12:56:32,EU,512,1626454859,December,Q1
04/02/2022 15:09:37,US,512,1626454863,Q1,Q2
20/01/2022 08:12:06,EU,256,1626454879,December,Q1
19/01/2022 23:21:18,US,512,1626454884,December,Q1
19/01/2022 22:51:07,US,512,1626454915,December,Q1
20/01/2022 20:06:21,EU,256,1626454920,December,Q1
24/01/2022 04:35:29,US,512,1626454944,December,Q1
20/01/2022 17:56:41,US,256,1626454947,December,Q1
19/01/2022 21:54:01,US,512,1626454953,December,Q1
21/01/2022 03:03:36,UK,512,1626454957,December,Q1
20/01/2022 05:24:54,US,64,1626454969,December,Q1
04/02/2022 12:27:48,EU,64,1626454969,December,Q1
20/01/2022 16:19:40,US,256,1626454970,December,Q1
22/01/2022 00:58:23,EU,256,1626454970,December,Q1
20/01/2022 18:10:22,US,512,1626454973,December,Q1
20/01/2022 01:42:27,US,64,1626454974,December,Q1
20/01/2022 21:38:32,US,512,1626454976,December,Q1
20/01/2022 03:25:46,US,512,1626454979,December,Q1
20/01/2022 11:50:58,UK,256,1626454979,December,Q1
06/02/2022 19:10:35,US,256,1626454979,December,Q1
11/02/2022 19:19:12,US,256,1626454980,December,Q1
