Timestamp,Region,Model,rtReserveTime or preorder-email time ,Initial Valve Estimate,update 1 (Someone have a date for when Valve updated it?),When did you receive your ready to order email?
2/8/2022 23:43:21,US,256,1626454969,December,Q1,
2/9/2022 14:50:45,UK,512,1635594996,After Q2,After Q2,
2/9/2022 14:54:02,US,512,1626454856,December,Q1,
2/9/2022 14:58:39,US,256,1644440188,Q1,Q2,
2/9/2022 15:04:49,EU,256,1626478685,Q1,Q2,
2/9/2022 15:06:32,US,512,1627423926,Q2,After Q2,
2/9/2022 17:34:48,EU,512,1626454854,December,Q1,
2/9/2022 23:05:21,US,512,1644280584,After Q2,,
2/9/2022 23:15:08,EU,256,1626602824,Q1,Q2,
2/9/2022 23:15:06,US,64,1628044627,After Q2,After Q2,
2/9/2022 23:17:51,US,64,1626460308,Q1,Q2,
2/9/2022 23:18:10,US,512,1626455651,Q1,Q2,
2/9/2022 23:22:26,US,512,1626455771,December,,
2/9/2022 23:26:36,US,512,1626454981,December,Q1,
2/9/2022 23:26:51,US,256,1626455273,Q1,Q1,
2/9/2022 23:41:51,US,512,1626455576,Q1,Q2,
2/9/2022 23:42:43,EU,64,1626462000,December,Q1,
2/9/2022 23:45:43,US,256,1626454855,December,Q1,
2/9/2022 23:49:34,US,64,1626457281,Q1,Q2,
2/9/2022 23:51:25,US,512,1626455223,Q1,Q1,
2/10/2022 0:01:11,US,512,1626457867,Q1,Q2,
2/10/2022 0:03:22,EU,512,1626470575,Q1,Q2,
2/10/2022 0:04:59,US,256,1626455915,Q1,Q2,
2/10/2022 0:18:20,EU,512,1626454997,December,Q1,
2/10/2022 0:22:19,US,256,1626465374,Q1,Q2,
2/10/2022 0:36:21,US,64,1626471997,Q1,Q2,
2/10/2022 0:38:01,EU,256,1626454827,December,Q1,
2/10/2022 0:42:58,EU,512,1626545601,Q1,Q2,
2/10/2022 0:52:41,US,512,1626455335,Q1,Q2,
2/10/2022 1:16:06,EU,512,1626456181,Q1,Q1,
2/10/2022 1:18:45,EU,256,1626468720,Q1,Q2,
2/10/2022 1:26:21,EU,64,1626459898,December,Q1,
2/10/2022 1:26:28,UK,64,1626539460,Q2,Q2,
2/10/2022 1:40:57,US,512,1626455921,Q1,Q2,
2/10/2022 1:41:36,UK,256,1626455083,December,Q1,
2/10/2022 1:41:41,EU,512,1626854664,Q1,Q2,
2/10/2022 1:42:34,US,256,1628290307,After Q2,After Q2,
2/10/2022 1:43:02,EU,256,1626483936,Q1,Q2,
2/10/2022 1:51:47,EU,256,1626506245,Q1,Q2,
2/10/2022 1:52:56,EU,512,1626612750,Q2,Q2,
2/10/2022 1:55:46,EU,512,1626711510,Q1,Q2,
2/10/2022 2:03:17,UK,256,1626459400,Q1,Q2,
2/10/2022 2:04:06,EU,256,1626456338,Q1,Q1,
2/10/2022 2:27:24,EU,512,1626454996,December,Q1,
2/10/2022 2:34:58,EU,64,1626972150,Q1,Q2,
2/10/2022 2:37:56,US,512,1644405361,After Q2,,
2/10/2022 2:47:22,EU,512,1626454969,December,Q1,
2/10/2022 2:49:03,EU,512,1626458314,Q1,Q2,
2/10/2022 3:04:28,EU,512,1626455387,December,Q1,
2/10/2022 3:08:30,US,512,1626502320,Q2,After Q2,
2/10/2022 3:14:52,EU,256,1626464012,Q1,Q2,
2/10/2022 3:17:45,EU,256,1626457296,Q1,Q1,
2/10/2022 3:18:32,EU,512,1626514723,Q2,Q2,
2/10/2022 3:31:53,UK,64,1626455074,December,Q1,
2/10/2022 3:38:54,US,256,1626465415,Q1,Q2,
2/10/2022 3:42:27,EU,256,1626455586,December,Q1,
2/10/2022 3:48:13,US,512,1626454835,December,Q1,
2/10/2022 3:54:48,US,256,1626460519,Q2,Q2,
2/10/2022 3:58:44,EU,512,1626459408,Q2,Q2,
2/10/2022 4:06:11,EU,512,1626456965,Q2,,
2/10/2022 4:12:37,UK,64,1626640923,Q2,Q2,
2/10/2022 4:20:14,US,512,1643980826,After Q2,,
2/10/2022 4:20:26,EU,256,1626459350,Q1,Q2,
2/10/2022 4:21:47,EU,64,1626464450,December,Q1,
2/10/2022 4:24:43,EU,256,1627073255,Q1,Q2,
2/10/2022 4:29:09,EU,512,1626460055,Q1,Q2,
2/10/2022 4:38:07,US,256,1626471875,Q1,Q2,
2/10/2022 4:39:19,EU,512,1626455589,December,Q1,
2/10/2022 4:57:50,EU,64,1626479275,Q1,Q1,
2/10/2022 4:57:59,EU,512,1626535247,Q1,Q2,
2/10/2022 4:59:28,UK,64,1626515410,Q2,Q2,
2/10/2022 5:04:16,EU,256,1626458950,Q1,Q2,
2/10/2022 5:09:11,UK,512,1626455382,Q1,Q2,
2/10/2022 5:15:29,EU,512,1626460100,Q1,Q2,
2/10/2022 5:25:03,EU,256,1626469725,Q1,Q2,
2/10/2022 5:25:42,EU,256,1628279792,After Q2,After Q2,
2/10/2022 5:31:16,EU,256,1626897863,Q1,Q2,
2/10/2022 5:46:37,EU,256,1626472930,Q1,Q2,
2/10/2022 5:53:51,EU,256,1626454924,December,Q1,
